"","X.gf_id","X.species","X.genes","ach","ahy","ath","bvu","cqu","ccan","dca"
"172","HOM04D007138",46,56,2,1,1,1,1,1,2
"175","HOM04D007161",51,55,1,1,1,1,1,1,1
"176","HOM04D007167",51,55,2,1,1,1,1,1,1
"177","HOM04D007178",47,55,1,1,1,1,1,1,1
"178","HOM04D007194",51,55,1,1,1,1,1,1,1
"180","HOM04D007212",48,55,1,1,1,1,1,1,2
"181","HOM04D007231",49,54,1,1,1,1,1,1,1
"182","HOM04D007238",47,54,2,1,1,1,1,1,1
"186","HOM04D007285",49,54,2,1,1,1,1,1,1
"187","HOM04D007308",51,53,1,1,1,1,1,1,1
"190","HOM04D007314",46,53,2,1,1,1,1,1,1
"192","HOM04D007326",46,53,1,1,1,1,1,1,1
"193","HOM04D007330",51,53,1,1,1,1,1,1,1
"196","HOM04D007358",45,52,1,1,1,1,1,1,1
"197","HOM04D007391",46,52,3,1,1,1,1,1,1
"206","HOM04D007444",45,51,1,1,1,1,1,1,1
"207","HOM04D007454",46,51,1,1,1,1,1,1,2
"209","HOM04D007473",44,50,1,1,1,1,1,1,1
"211","HOM04D007504",48,49,1,1,1,1,1,1,1
"214","HOM04D007520",44,49,1,1,1,1,1,1,1
"215","HOM04D007522",43,49,2,1,1,1,1,1,1
"216","HOM04D007532",45,49,1,1,1,1,1,1,1
"218","HOM04D007536",45,49,1,1,1,1,1,1,1
"227","HOM04D007640",44,46,1,1,1,1,1,1,1
"245","HOM04D007923",31,38,1,1,1,1,1,1,2
